,DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upcs,asins
10,"Wed, 22 Apr 2015 18:56:00 -0400",Ossies,Pickled Lox  Cream,Undeclared eggs,SM Fish Corp.,http://www.fda.gov/Safety/Recalls/ucm444100.htm,"
			http://www.fda.gov/Safety/Recalls/ucm444101.htm
	",739885104113,
11,"Wed, 22 Apr 2015 12:41:00 -0400",Mucinex Fast-Max,Mucinex Fast-Max,"Incorrect labeling - Undeclared levels of Acetaminophen, Dextromethorphan, Guaifenesin, Phenylephrine and/or Diphenhydramine",RB (formerly Reckitt Benckiser),http://www.fda.gov/Safety/Recalls/ucm444028.htm,	,,
12,"Wed, 22 Apr 2015 00:00:00 -0400",Nylabone,Chew bones,Salmonella,"TFH Publications, Inc./Nylabone Products",http://www.fda.gov/Safety/Recalls/ucm444560.htm,	,018214812913;018214812913,B0002DGL26
13,"Tue, 21 Apr 2015 14:50:00 -0400",La Clarita Queseria,Queso fresco,Staphylococcus aureus,"Queseria La Poblanita, Inc.",http://www.fda.gov/Safety/Recalls/ucm443851.htm,	,,
14,"Mon, 20 Apr 2015 21:15:00 -0400",Royal Frozen Food,Blintzes,Undeclared milk,Royal Frozen Food,http://www.fda.gov/Safety/Recalls/ucm443680.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443681.htm
	",607238300218;607238300201;607238300201,
15,"Mon, 20 Apr 2015 16:42:00 -0400",Superior Nut  Candy Co.,Pine Nuts,Salmonella,Superior Nut  Candy Co.,http://www.fda.gov/Safety/Recalls/ucm443666.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443667.htm
	",,
16,"Mon, 20 Apr 2015 00:00:00 -0400",Blue Bell,"ice cream, frozen yogurt, sherbet and frozen snacks",Listeria monocytogenes,Blue Bell Ice Cream,http://www.fda.gov/Safety/Recalls/ucm443724.htm,	,,
17,"Fri, 17 Apr 2015 18:42:00 -0400",Hines Nut Company,Walnuts,Salmonella,Hines Nut Company,http://www.fda.gov/Safety/Recalls/ucm443477.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443478.htm
	",,
18,"Fri, 17 Apr 2015 18:28:00 -0400",Whole Foods Market,Macadamia nuts,Salmonella,Whole Foods Market,http://www.fda.gov/Safety/Recalls/ucm443476.htm,	,7695862059,
19,"Fri, 17 Apr 2015 15:57:00 -0400",Conway,Organic sesame ginger dressing  Citrus organic vinaigrette,Salmonella,"Conway Import Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm443463.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443464.htm
	",,
20,"Fri, 17 Apr 2015 10:36:00 -0400",Schnucks,Chefs Express California Pasta Salad,Salmonella,"Schnucks Market, Inc.",http://www.fda.gov/Safety/Recalls/ucm443343.htm,	,,
21,"Thu, 16 Apr 2015 08:56:00 -0400",Cleveland Crops,Chili Cheezy Kale Chips,Undeclared treenut (raw cashews),"Solutions At Work, Inc.",http://www.fda.gov/Safety/Recalls/ucm443029.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443030.htm
	",5873600504,
22,"Wed, 15 Apr 2015 19:11:00 -0400",OriGen,VV13F Reinforced Dual Lumen ECMO Catheters,Product has the potential for a separation of the clear extension tube from the hub that it is inserted in.,OriGen Biomedical,http://www.fda.gov/Safety/Recalls/ucm443009.htm,	,,
23,"Wed, 15 Apr 2015 00:00:00 -0400",Trader Joes,Sweet bites (assorted cakes),Undeclared coconut,Prolainat,http://www.fda.gov/Safety/Recalls/ucm443480.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443481.htm
	",,
24,"Fri, 10 Apr 2015 08:17:00 -0400",Baxter,"Sodium Chloride, Dextrose, and Lactated Ringers Injections",Particulate Matter,Baxter International Inc.,http://www.fda.gov/Safety/Recalls/ucm442074.htm,	,,
25,"Thu, 09 Apr 2015 19:07:00 -0400",Texas Pecan Company Inc.,Macadamia Nuts,Salmonella,Texas Pecan Company Inc.,http://www.fda.gov/Safety/Recalls/ucm442042.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442043.htm
	",,
26,"Wed, 08 Apr 2015 18:44:00 -0400",Sabra,Classic Hummus,Listeria monocytogenes,"Sabra Dipping Co., LLC",http://www.fda.gov/Safety/Recalls/ucm441863.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442098.htm
	",040822011143;040822014687;040822342049;040822017497;040822342209,B00I5RK8E8;B002TUHOKS;B004UONS7O;B00D4CT5DY
27,"Wed, 08 Apr 2015 15:49:00 -0400",Central Market,Teriyaki Salmon Jerky,Undeclared Soy and Wheat,World Wide Gourmet Foods,http://www.fda.gov/Safety/Recalls/ucm441838.htm,	,041220342709,B00ORZYR1W
28,"Wed, 08 Apr 2015 00:00:00 -0400",La Guadalupana,Salsa Verde Vegan Tamales,Undeclared eggs,"La Guadalupana Wholesale Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm442188.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442190.htm
	",,
29,"Wed, 08 Apr 2015 00:00:00 -0400",La Guadalupana,Salsa Verde Vegan Tamales,Undeclared eggs,"La Guadalupana Wholesale Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm442189.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442190.htm
	",,
30,"Tue, 07 Apr 2015 20:33:00 -0400",Blue Bell,Ice cream and sherbet,Listeria monocytogenes,"Blue Bell Creameries, LP",http://www.fda.gov/Safety/Recalls/ucm441620.htm,	,071899051015;071899199908;071899189923;071899037200;071899835486;071899735014,B00NHK4GTQ;B0068K2TIM;B0002IQWOS
31,"Tue, 07 Apr 2015 00:00:00 -0400",Natures Eats and Central Market,Macadamia nut products,Salmonella,"Texas Star Nut and Food Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm441686.htm,	,,
32,"Mon, 06 Apr 2015 00:00:00 -0400",Deer,Cumin powder,Undeclared peanut,Best Foods,http://www.fda.gov/Safety/Recalls/ucm441488.htm,	,714760027497;714760027503,B000VUC2BO
33,"Fri, 03 Apr 2015 16:12:00 -0400",Henrys Farm,Soybean Sprouts,Listeria monocytogenes,Henrys Farm Inc.,http://www.fda.gov/Safety/Recalls/ucm441216.htm,	,1303020000,B001QAZATO
34,"Fri, 03 Apr 2015 00:00:00 -0400",Petersons,Macadamia Nuts,Salmonella,Kanan Enterprises,http://www.fda.gov/Safety/Recalls/ucm442077.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442087.htm
	",074870103659;074870103659;074870103659,
35,"Thu, 02 Apr 2015 00:00:00 -0400",Smiths,Carrot cake,Undeclared tree nut (Walnut),Smiths Food  Drug,http://www.fda.gov/Safety/Recalls/ucm443234.htm,"
			http://www.fda.gov/Safety/Recalls/ucm443358.htm
	",4157307058;75090391714;77011822460,
36,"Thu, 02 Apr 2015 00:00:00 -0400",Navajo Pride,Blached All purpose flour,Salmonella,"Navajo Pride, LLC",http://www.fda.gov/Safety/Recalls/ucm445036.htm,	,,
37,"Wed, 01 Apr 2015 16:31:00 -0400",Maya,Cumin powder,Undeclared peanut (from cumin ingredient),Maya Overseas Food Inc.,http://www.fda.gov/Safety/Recalls/ucm440911.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440913.htm
	",,
38,"Wed, 01 Apr 2015 14:45:00 -0400",Hope,Kale Pesto Hummus,Undeclared Walnuts,Hope Foods,http://www.fda.gov/Safety/Recalls/ucm440887.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440888.htm
	",856500004266,
39,"Wed, 01 Apr 2015 00:00:00 -0400",Swad,Cumin powder,Undeclared peanut,Raja Foods,http://www.fda.gov/Safety/Recalls/ucm441049.htm,	,,
40,"Wed, 01 Apr 2015 00:00:00 -0400",Prescription Center Pharmacy,"All lots of non-sterile and sterile products compounded, repackaged and distributed by Prescription Center Pharmacy between September 10, 2014, and March 10, 2015","Pharmacys inability to ensure sterility, stability, and potency for these products.",Prescription Center Pharmacy,http://www.fda.gov/Safety/Recalls/ucm441046.htm,	,,
41,"Tue, 31 Mar 2015 20:52:00 -0400",Whole Foods Market,Bran Muffin,Undeclared Egg and Milk,Whole Foods Market,http://www.fda.gov/Safety/Recalls/ucm440729.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440730.htm
	",,
42,"Tue, 31 Mar 2015 17:38:00 -0400",Natures Place,Mixed Nuts and Cranberry Mix,Salmonella,Hannaford Supermarkets,http://www.fda.gov/Safety/Recalls/ucm440721.htm,	,72543994507;72543994563,
43,"Tue, 31 Mar 2015 17:20:00 -0400",Ernest Klein and Aurora,Mixed Nuts,Salmonella,"Aurora Products, Inc.",http://www.fda.gov/Safety/Recalls/ucm440716.htm,	,,
44,"Tue, 31 Mar 2015 00:00:00 -0400",Giant Eagle,"Danish pastry, rolls, cheese, pie and fried fish",Undeclared Egg and/or Milk Allergens,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm440837.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440838.htm
	",6977910298;5977910298;9775460299;2775460299;1612400000;0996330799;0997130799;3715600000,B01F6D8PMU
45,"Tue, 31 Mar 2015 00:00:00 -0400",La Terra Fina,Spinach Artichoke  Parmesan Dip  Spread,Listeria monocytogenes,La Terra Fina,http://www.fda.gov/Safety/Recalls/ucm440917.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440918.htm
	",640410513273,B001C4H6S2
46,"Tue, 31 Mar 2015 00:00:00 -0400",Get Go,Sub sandwiches,Undeclared Egg Allergen,GetGo from Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm440810.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440811.htm
	",6556720399;2556720399,
47,"Fri, 27 Mar 2015 18:33:00 -0400","Belmont Market, Boiceville Market, Gauls Market, Green Hills Market, Harvest Co ? Op Market, Hurley Ridge, Lees, Miles Market, Palmers Market, Union Market, Walter Stewart , Windfall Market and Wild Acorns",Walnuts and Trail Mixes,Salmonella,"Aurora Products, Inc.",http://www.fda.gov/Safety/Recalls/ucm440314.htm,	,,
48,"Fri, 27 Mar 2015 17:15:00 -0400",Silver Lake,Easter Egg Cookies,Undeclared egg,"Silver Lake Cookie Company, Inc.",http://www.fda.gov/Safety/Recalls/ucm440305.htm,"
			http://www.fda.gov/Safety/Recalls/ucm440306.htm
	",037695498171,B003NJE60U
49,"Fri, 27 Mar 2015 15:52:00 -0400",Deer Brand,Raisin Golden,Undeclared Sulfites,Best Foods Inc.,http://www.fda.gov/Safety/Recalls/ucm440295.htm,	,714760029255,
50,"Tue, 24 Mar 2015 19:54:00 -0400",Simply Balanced,Organic Chopped Spinach,Listeria monocytogenes,"Superior Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm439761.htm,	,8523900663,
51,"Tue, 24 Mar 2015 17:48:00 -0400","Cadia, Meijer, Wild Harvest and Wegmans",Organic Spinach,Listeria monocytogenes,"Twin City Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm439755.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439756.htm
	",1536901165;4125002362;1153550170;7789032932,
52,"Tue, 24 Mar 2015 00:00:00 -0400",Lindt,Chocolate Covered Raisins and Chocolate Covered Almonds,Undeclared Hazelnuts,Lindt  Sprungli,http://www.fda.gov/Safety/Recalls/ucm439873.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439890.htm
	",,
53,"Tue, 24 Mar 2015 00:00:00 -0400",La Terra Fina,Spinach Artichoke  Parmesan Dips,Listeria monocytogenes,La Terra Fina,http://www.fda.gov/Safety/Recalls/ucm439940.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439943.htm
	",640410513389;640410511934,B00NJDUMVW
54,"Mon, 23 Mar 2015 22:06:00 -0400",Rising Moon Organics,Frozen Ravioli,Listeria monocytogenes,Carmel Food Group,http://www.fda.gov/Safety/Recalls/ucm439539.htm,	,785030000113;785030227701;785030555613,B00IRS3UHC;B00D4CWPXG;B003V29TY2
55,"Mon, 23 Mar 2015 20:32:00 -0400",Blue Bell,Three flavors of ice cream cups,Listeria monocytogenes,Blue Bell Ice Cream,http://www.fda.gov/Safety/Recalls/ucm439533.htm,	,,
56,"Mon, 23 Mar 2015 12:16:00 -0400",Wegmans,Frozen Spinach,Listeria monocytogenes,"Wegmans Food Markets, Inc.",http://www.fda.gov/Safety/Recalls/ucm439439.htm,	,7789032932;7789032932;7789032932,
57,"Mon, 23 Mar 2015 00:00:00 -0400",Giant Eagle,Little Italy Panini,Undeclared Egg Allergen,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm439643.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439647.htm
	",9752520399;0736920399,
58,"Mon, 23 Mar 2015 00:00:00 -0400",Giant Eagle,Japanese Breaded Cod Fillets,Undeclared Soy Allergen,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm439658.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439660.htm
	",6810631470,
59,"Sun, 22 Mar 2015 00:00:00 -0400",Amys,Assorted Frozen Meals,Listeria monocytogenes,"Amys Kitchen, Inc.",http://www.fda.gov/Safety/Recalls/ucm439397.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439401.htm
	",042272000326;042272900329;042272000333;042272000418;042272000548;042272000852;042272001026;042272001613;042272001781;042272002016;042272002405;042272002436;042272008070;042272908073;042272008148;042272908141;042272000326;042272000852;042272009657,B002HTMAXM;B00B03WYYQ;B004C4AIY8;B008HMDBO0;B000O6K834;B00CHU05D8;B002HTOCRE;B0086GLI6U;B002HTMEPQ;B0019MNH9E;B002HTQ4ZM;B002HTU4TE;B00TRGD8RK;B00FTCF1EO;B00FTBQ79I
60,"Sat, 21 Mar 2015 08:31:00 -0400",Natures Eats,Macadamia Nuts,Salmonella,Texas Star Nut and Food Co. Inc.,http://www.fda.gov/Safety/Recalls/ucm439283.htm,	,,
61,"Sat, 21 Mar 2015 00:00:00 -0400",Nutiva,OCoconut Products,Salmonella,Nutiva,http://www.fda.gov/Safety/Recalls/ucm439285.htm,	,692752105579;692752105586;692752105029;692752105036;692752103865;692752105005;692752105012;692752103858,B0121HZ1KI;B00KRFLH8C;B00X15RB0I;B01B65ZM14;B012XUVINW;B00KRFLDR2
62,"Fri, 20 Mar 2015 20:15:00 -0400",Giant Eagle,Raisin Filled and Apricot Filled Cookies,Undeclared Milk,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm439274.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439276.htm
	",5799170069;7797970069,
63,"Fri, 20 Mar 2015 17:23:00 -0400",Wawa,Kale and Quinoa Salad,Undeclared Soy,Taylor Farms Florida Inc.,http://www.fda.gov/Safety/Recalls/ucm439262.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439263.htm
	",,
64,"Fri, 20 Mar 2015 00:00:00 -0400",Essential Everyday,Chocolate Covered Raisins,Undeclared Peanut Allergen,Supervalu Inc.,http://www.fda.gov/Safety/Recalls/ucm439669.htm,	,4130305311,
65,"Fri, 20 Mar 2015 00:00:00 -0400",La Terra Fina,Organic Spinach Dip,Listeria monocytogenes,La Terra Fina,http://www.fda.gov/Safety/Recalls/ucm439279.htm,	,640410513730,
66,"Fri, 20 Mar 2015 00:00:00 -0400","Aurora, Martin Food Products, StopShop, Giant Carlisle Food Store, Giant of Maryland, Whole Foods Market",Natural Walnuts and Trail Mixes Containing Walnuts,Salmonella spp.,"Aurora Products, Inc.",http://www.fda.gov/Safety/Recalls/ucm439284.htm,	,,
67,"Wed, 18 Mar 2015 17:54:00 -0400",Natural Grocers,Garlic Powder,Salmonella,"Vitamin Cottage Natural Food Markets, Inc.",http://www.fda.gov/Safety/Recalls/ucm438935.htm,"
			http://www.fda.gov/Safety/Recalls/ucm439032.htm
	",,
68,"Wed, 18 Mar 2015 15:53:00 -0400",Wegmans,Walnut Halves and Pieces,Salmonella,"First Source, LLC",http://www.fda.gov/Safety/Recalls/ucm438910.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438912.htm
	",077890358009,B004UOP5TI
69,"Wed, 18 Mar 2015 00:00:00 -0400",Giant Eagle,Seasonal Cut Out Cookies,Undeclared Milk,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm438984.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438986.htm
	",7799390046;3797300199;1797210298;8968580499;6974880499,
70,"Tue, 17 Mar 2015 11:26:00 -0400",Trader Joes Nuts and Trader Joes Organic,Raw Walnuts,Salmonella,Trader Joes Company,http://www.fda.gov/Safety/Recalls/ucm438472.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438476.htm
	",,
71,"Tue, 17 Mar 2015 00:00:00 -0400",Kraft,Macaroni and Cheese,Metal Pieces,Kraft Foods Group,http://www.fda.gov/Safety/Recalls/ucm438700.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438708.htm
	",021000658831;021000658831;021000050765;021000658831;021000725403;021000658831;021000774364,B005MYWWN2;B000PXZZQG;B003M0ZDAM
72,"Mon, 16 Mar 2015 20:23:00 -0400",Frontier/Simply Organic,Various products manufactured with garlic powder,Salmonella,Frontier Co-op,http://www.fda.gov/Safety/Recalls/ucm438360.htm,	,089836003522;089836027610;089836027627;089836027801;089836028693;089836029188;089836029263;089836803528;089836828699;089836183514;089836185068;089836195029;089836157102;089836157140;089836185341;089836185358;089836185365;089836185372;089836185426;089836185433;089836185440;089836187444;089836188335;089836188366;089836188403;089836188410;089836188427;089836188434;089836188700;089836188717;089836188779;089836188786;089836188793;089836188809;089836189561;089836200020;089836200044;089836200075;099482445775,B009OAJ4UE;B005GHJD2I;B001VNO3B2;B000UYC3CO;B0010BTL6W;B00FVCTLYS;B003SO5A6Y;B000LKZI2O;B00F99HMTE;B0019MNI34;B0078U47QI;B00MLIIQU0;B000WS042E;B000LKU874;B009OAIWMA;B00WIU9MTK;B000LKZI1U;B0052P1PPW;B00NP4NZ00;B00J049WCE;B001XWN3IA;B000LKXOKC;B0053OBAPC;B000WR8UDU;B00H1BZ4XO;B000UYC36U;B0052P1PBQ;B0000CCZYA;B00CHTYN64;B000LKU8A6;B001VNGMDE;B000VK4F00
73,"Fri, 13 Mar 2015 19:36:00 -0400",Primal,Cat food-Feline Turkey Raw Frozen Formula,low thiamine level,Primal Pet Foods,http://www.fda.gov/Safety/Recalls/ucm438183.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438184.htm
	",850334004140,B00HYEUUVO
74,"Fri, 13 Mar 2015 00:00:00 -0400",Blue Bell,Ice cream and Pops,Listeria monocytogenes,"Blue Bell Creameries, LP",http://www.fda.gov/Safety/Recalls/ucm438626.htm,"
			http://www.fda.gov/Safety/Recalls/ucm441699.htm
	",7189921169;7189921178;7189921208;7189921207;7189900701;7189921138;7189962257;7189962258;7189962305;8589996524,
75,"Fri, 13 Mar 2015 00:00:00 -0400",Americas Best,(Jeera) Cumin powder,Undeclared peanut,Patel Grocery,http://www.fda.gov/Safety/Recalls/ucm442765.htm,"
			http://www.fda.gov/Safety/Recalls/ucm442766.htm
	",,
76,"Thu, 12 Mar 2015 15:51:00 -0400",Badia,Ground cumin products,Undeclared Peanut (from Cumin Ingredient),"Badia Spices, Inc.",http://www.fda.gov/Safety/Recalls/ucm438042.htm,	,033844000028;033844000073;033844005160,B00451XODA;B001SATU0C;B003T07T7U
77,"Thu, 12 Mar 2015 09:05:00 -0400",Giant Eagle,Irish soda bread,Undeclared milk,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm437836.htm,	,,
78,"Thu, 12 Mar 2015 00:00:00 -0400",Trader Joes,Cinnamon Almonds,Undeclared Peanuts,Trader Joes Company,http://www.fda.gov/Safety/Recalls/ucm438079.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438080.htm
	",,
79,"Wed, 11 Mar 2015 17:15:00 -0400",Crown Confectionary,(Korean snack) Corn Bba,Undeclared Milk,"T. Up Trading, Inc.",http://www.fda.gov/Safety/Recalls/ucm437807.htm,"
			http://www.fda.gov/Safety/Recalls/ucm438137.htm
	",,
80,"Wed, 11 Mar 2015 16:00:00 -0400",Hospira,"Lactated Ringers Irrigation, 3000mL",Due to mold contamination,"Hospira, Inc",http://www.fda.gov/Safety/Recalls/ucm437791.htm,"
			http://www.fda.gov/Safety/Recalls/ucm437793.htm
	",,
81,"Tue, 10 Mar 2015 12:27:00 -0400",UltraZx,"UltraZx weight loss supplements, packaged bottles of 30 capsules, 300mg",Contains undelcared Sibutramine and phenolphthalein,"Ultra ZX Labs, LLC",http://www.fda.gov/Safety/Recalls/ucm437517.htm,"
			http://www.fda.gov/Safety/Recalls/ucm437518.htm
	",,
82,"Fri, 06 Mar 2015 12:22:00 -0500",Hospira,"Magnesium Sulfate in 5% Dextrose, Inj",Incorrect barcode,"Hospira, Inc.",http://www.fda.gov/Safety/Recalls/ucm437033.htm,"
			http://www.fda.gov/Safety/Recalls/ucm437036.htm
	",,
83,"Thu, 05 Mar 2015 20:21:00 -0500",Hospira,"Sodium Chloride Injection, USP",Particulate matter,"Hospira, Inc.",http://www.fda.gov/Safety/Recalls/ucm436807.htm,	,,
84,"Wed, 04 Mar 2015 10:42:00 -0500",healthy mama Boost It Up!,Mango drink,Undeclared milk,"Maternal Science, Inc.",http://www.fda.gov/Safety/Recalls/ucm436491.htm,	,810758020058;810758020058,B00JUAMS1U
85,"Fri, 27 Feb 2015 00:00:00 -0500",Mrs.Ts,Pierogies,Plastic contamination,"Ateeco, Inc.",http://www.fda.gov/Safety/Recalls/ucm436088.htm,"
			http://www.fda.gov/Safety/Recalls/ucm436090.htm
	",4116400042,
