,DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upc_processed_string,asin_string,upcs_string
13,"Tue, 21 Apr 2015 14:50:00 -0400",La Clarita Queseria,Queso fresco,Staphylococcus aureus,"Queseria La Poblanita, Inc.",http://www.fda.gov/Safety/Recalls/ucm443851.htm,,,,
14,"Mon, 20 Apr 2015 21:15:00 -0400",Royal Frozen Food,Blintzes,Undeclared milk,Royal Frozen Food,http://www.fda.gov/Safety/Recalls/ucm443680.htm,http://www.fda.gov/Safety/Recalls/ucm443681.htm,"607238300218,;607238300201,;607238300201,;","B014YYJECW,;B00UBMO61G,;B00UBMO61G,;",607238300218;607238300201;607238300201;
15,"Mon, 20 Apr 2015 16:42:00 -0400",Superior Nut &amp; Candy Co.,Pine Nuts,Salmonella,Superior Nut &amp; Candy Co.,http://www.fda.gov/Safety/Recalls/ucm443666.htm,http://www.fda.gov/Safety/Recalls/ucm443667.htm,,,
16,"Mon, 20 Apr 2015 00:00:00 -0400",Blue Bell,"ice cream, frozen yogurt, sherbet and frozen snacks",Listeria monocytogenes,Blue Bell Ice Cream,http://www.fda.gov/Safety/Recalls/ucm443724.htm,,,,
17,"Fri, 17 Apr 2015 18:42:00 -0400",Hines Nut Company,Walnuts,Salmonella,Hines Nut Company,http://www.fda.gov/Safety/Recalls/ucm443477.htm,http://www.fda.gov/Safety/Recalls/ucm443478.htm,,,
18,"Fri, 17 Apr 2015 18:28:00 -0400",Whole Foods Market,Macadamia nuts,Salmonella,Whole Foods Market,http://www.fda.gov/Safety/Recalls/ucm443476.htm,,"076958620591,776958620590,876958620597,676958620593,;","UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;",7695862059;
19,"Fri, 17 Apr 2015 15:57:00 -0400",Conway,Organic sesame ginger dressing &amp; Citrus organic vinaigrette,Salmonella,"Conway Import Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm443463.htm,http://www.fda.gov/Safety/Recalls/ucm443464.htm,,,
20,"Fri, 17 Apr 2015 10:36:00 -0400",SchnuckÛªs,ChefÛªs Express California Pasta Salad,Salmonella,"SchnuckÛªs Market, Inc.",http://www.fda.gov/Safety/Recalls/ucm443343.htm,,,,
21,"Thu, 16 Apr 2015 08:56:00 -0400",Cleveland Crops,Chili Cheezy Kale Chips,Undeclared treenut (raw cashews),"Solutions At Work, Inc.",http://www.fda.gov/Safety/Recalls/ucm443029.htm,http://www.fda.gov/Safety/Recalls/ucm443030.htm,"058736005042,758736005041,858736005048,658736005044,;","UPCNOTFOUND,UPCNOTFOUND,B01BE8IFWG,UPCNOTFOUND,;",5873600504;
22,"Wed, 15 Apr 2015 19:11:00 -0400",OriGen,VV13F Reinforced Dual Lumen ECMO Catheters,Product has the potential for a separation of the clear extension tube from the hub that it is inserted in.,OriGen Biomedical,http://www.fda.gov/Safety/Recalls/ucm443009.htm,,,,
23,"Wed, 15 Apr 2015 00:00:00 -0400",Trader JoeÌ¢âÂã¢s,Sweet bites (assorted cakes),Undeclared coconut,Prolainat,http://www.fda.gov/Safety/Recalls/ucm443480.htm,http://www.fda.gov/Safety/Recalls/ucm443481.htm,,,
24,"Fri, 10 Apr 2015 08:17:00 -0400",Baxter,"Sodium Chloride, Dextrose, and Lactated Ringer&#39;s Injections",Particulate Matter,Baxter International Inc.,http://www.fda.gov/Safety/Recalls/ucm442074.htm,,,,
25,"Thu, 09 Apr 2015 19:07:00 -0400",Texas Pecan Company Inc.,Macadamia Nuts,Salmonella,Texas Pecan Company Inc.,http://www.fda.gov/Safety/Recalls/ucm442042.htm,http://www.fda.gov/Safety/Recalls/ucm442043.htm,,,
26,"Wed, 08 Apr 2015 18:44:00 -0400",Sabra,Classic Hummus,Listeria monocytogenes,"Sabra Dipping Co., LLC",http://www.fda.gov/Safety/Recalls/ucm441863.htm,http://www.fda.gov/Safety/Recalls/ucm442098.htm,"040822011143,;040822014687,;040822342049,;040822017497,;040822342209,;","B004UONS7O,;B00D4CT5DY,;B00I5RK8E8,;B002TUHOKS,;UPCNOTFOUND,;",040822011143;040822014687;040822342049;040822017497;040822342209;
27,"Wed, 08 Apr 2015 15:49:00 -0400",Central Market,Teriyaki Salmon Jerky,Undeclared Soy and Wheat,World Wide Gourmet Foods,http://www.fda.gov/Safety/Recalls/ucm441838.htm,,"041220342709,;","B00ORZYR1W,;",041220342709;
28,"Wed, 08 Apr 2015 00:00:00 -0400",La Guadalupana,Salsa Verde Vegan Tamales,Undeclared eggs,"La Guadalupana Wholesale Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm442188.htm,http://www.fda.gov/Safety/Recalls/ucm442190.htm,,,
29,"Wed, 08 Apr 2015 00:00:00 -0400",La Guadalupana,Salsa Verde Vegan Tamales,Undeclared eggs,"La Guadalupana Wholesale Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm442189.htm,http://www.fda.gov/Safety/Recalls/ucm442190.htm,,,
30,"Tue, 07 Apr 2015 20:33:00 -0400",Blue Bell,Ice cream and sherbet,Listeria monocytogenes,"Blue Bell Creameries, LP",http://www.fda.gov/Safety/Recalls/ucm441620.htm,,"071899051015,;071899199908,;071899189923,;071899037200,;071899835486,;071899735014,;","B0002IQWOS,;B0068K2TIM,;UPCNOTFOUND,;B011YVGC4G,;B00NHK4GTQ,;UPCNOTFOUND,;",071899051015;071899199908;071899189923;071899037200;071899835486;071899735014;
31,"Tue, 07 Apr 2015 00:00:00 -0400",Nature&#39;s Eats and Central Market,Macadamia nut products,Salmonella,"Texas Star Nut and Food Co., Inc.",http://www.fda.gov/Safety/Recalls/ucm441686.htm,,,,
32,"Mon, 06 Apr 2015 00:00:00 -0400",Deer,Cumin powder,Undeclared peanut,Best Foods,http://www.fda.gov/Safety/Recalls/ucm441488.htm,,"714760027497,;714760027503,;","B000VUC2BO,;B003JH7HJS,;",714760027497;714760027503;
33,"Fri, 03 Apr 2015 16:12:00 -0400",HenryÛªs Farm,Soybean Sprouts,Listeria monocytogenes,HenryÛªs Farm Inc.,http://www.fda.gov/Safety/Recalls/ucm441216.htm,,"013030200005,713030200004,813030200001,613030200007,;","B011YVGJJY,UPCNOTFOUND,B011YVGHKA,UPCNOTFOUND,;",1303020000;
34,"Fri, 03 Apr 2015 00:00:00 -0400",PetersonÛªs,Macadamia Nuts,Salmonella,Kanan Enterprises,http://www.fda.gov/Safety/Recalls/ucm442077.htm,http://www.fda.gov/Safety/Recalls/ucm442087.htm,"074870103659,;074870103659,;074870103659,;","1118544072,;1118544072,;1118544072,;",074870103659;074870103659;074870103659;
35,"Thu, 02 Apr 2015 00:00:00 -0400",Smiths,Carrot cake,Undeclared tree nut (Walnut),Smiths Food &amp; Drug,http://www.fda.gov/Safety/Recalls/ucm443234.htm,http://www.fda.gov/Safety/Recalls/ucm443358.htm,"041573070588,741573070587,841573070584,641573070580,;750903917140,;770118224604,;","B007IVVBFW,B011YIS422,UPCNOTFOUND,UPCNOTFOUND,;B00MARZSW6,;B011YISFXK,;",4157307058;75090391714;77011822460;
36,"Thu, 02 Apr 2015 00:00:00 -0400",Navajo Pride,Blached All purpose flour,Salmonella,"Navajo Pride, LLC",http://www.fda.gov/Safety/Recalls/ucm445036.htm,,,,
37,"Wed, 01 Apr 2015 16:31:00 -0400",Maya,Cumin powder,Undeclared peanut (from cumin ingredient),Maya Overseas Food Inc.,http://www.fda.gov/Safety/Recalls/ucm440911.htm,http://www.fda.gov/Safety/Recalls/ucm440913.htm,,,
38,"Wed, 01 Apr 2015 14:45:00 -0400",Hope,Kale Pesto Hummus,Undeclared Walnuts,Hope Foods,http://www.fda.gov/Safety/Recalls/ucm440887.htm,http://www.fda.gov/Safety/Recalls/ucm440888.htm,"856500004266,;","UPCNOTFOUND,;",856500004266;
39,"Wed, 01 Apr 2015 00:00:00 -0400",Swad,Cumin powder,Undeclared peanut,Raja Foods,http://www.fda.gov/Safety/Recalls/ucm441049.htm,,,,
40,"Wed, 01 Apr 2015 00:00:00 -0400",Prescription Center Pharmacy,"All lots of non-sterile and sterile products compounded, repackaged and distributed by Prescription Center Pharmacy between September 10, 2014, and March 10, 2015","PharmacyÛªs inability to ensure sterility, stability, and potency for these products.",Prescription Center Pharmacy,http://www.fda.gov/Safety/Recalls/ucm441046.htm,,,,
41,"Tue, 31 Mar 2015 20:52:00 -0400",Whole Foods Market,Bran Muffin,Undeclared Egg and Milk,Whole Foods Market,http://www.fda.gov/Safety/Recalls/ucm440729.htm,http://www.fda.gov/Safety/Recalls/ucm440730.htm,,,
42,"Tue, 31 Mar 2015 17:38:00 -0400",Nature&#39;s Place,Mixed Nuts and Cranberry Mix,Salmonella,Hannaford Supermarkets,http://www.fda.gov/Safety/Recalls/ucm440721.htm,,"725439945073,;725439945639,;","B011YIS7UG,;B00CJQ5328,;",72543994507;72543994563;
43,"Tue, 31 Mar 2015 17:20:00 -0400",Ernest Klein and Aurora,Mixed Nuts,Salmonella,"Aurora Products, Inc.",http://www.fda.gov/Safety/Recalls/ucm440716.htm,,,,
44,"Tue, 31 Mar 2015 00:00:00 -0400",Giant Eagle,"Danish pastry, rolls, cheese, pie and fried fish",Undeclared Egg and/or Milk Allergens,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm440837.htm,http://www.fda.gov/Safety/Recalls/ucm440838.htm,"069779102988,769779102987,869779102984,669779102980,;059779102989,759779102988,859779102985,659779102981,;097754602994,797754602993,897754602990,697754602996,;027754602991,727754602990,827754602997,627754602993,;016124000000,716124000009,816124000006,616124000002,;009963307997,709963307996,809963307993,609963307999,;009971307996,709971307995,809971307992,609971307998,;037156000004,737156000003,837156000000,637156000006,;","UPCNOTFOUND,B011YIS9C2,B011YISE2C,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,B01F6D8PMU,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,B001AMMSIY,B0017DFIME,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;",6977910298;5977910298;9775460299;2775460299;1612400000;0996330799;0997130799;3715600000;
45,"Tue, 31 Mar 2015 00:00:00 -0400",La Terra Fina,Spinach Artichoke &amp; Parmesan Dip &amp; Spread,Listeria monocytogenes,La Terra Fina,http://www.fda.gov/Safety/Recalls/ucm440917.htm,http://www.fda.gov/Safety/Recalls/ucm440918.htm,"640410513273,;","B001C4H6S2,;",640410513273;
46,"Tue, 31 Mar 2015 00:00:00 -0400",Get Go,Sub sandwiches,Undeclared Egg Allergen,GetGo from Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm440810.htm,http://www.fda.gov/Safety/Recalls/ucm440811.htm,"065567203998,765567203997,865567203994,665567203990,;025567203992,725567203991,825567203998,625567203994,;","B00BGH2CRK,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,B0007N1AM2,;",6556720399;2556720399;
47,"Fri, 27 Mar 2015 18:33:00 -0400","Belmont Market, Boiceville Market, GaulÛªs Market, Green Hills Market, Harvest Co ÛÒ Op Market, Hurley Ridge, Lees, Miles Market, Palmers Market, Union Market, Walter Stewart , Windfall Market and Wild Acorns",Walnuts and Trail Mixes,Salmonella,"Aurora Products, Inc.",http://www.fda.gov/Safety/Recalls/ucm440314.htm,,,,
48,"Fri, 27 Mar 2015 17:15:00 -0400",Silver Lake,Easter Egg Cookies,Undeclared egg,"Silver Lake Cookie Company, Inc.",http://www.fda.gov/Safety/Recalls/ucm440305.htm,http://www.fda.gov/Safety/Recalls/ucm440306.htm,"037695498171,;","B003NJE60U,;",037695498171;
49,"Fri, 27 Mar 2015 15:52:00 -0400",Deer Brand,Raisin Golden,Undeclared Sulfites,Best Foods Inc.,http://www.fda.gov/Safety/Recalls/ucm440295.htm,,"714760029255,;","UPCNOTFOUND,;",714760029255;
50,"Tue, 24 Mar 2015 19:54:00 -0400",Simply Balanced,Organic Chopped Spinach,Listeria monocytogenes,"Superior Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm439761.htm,,"085239006634,785239006633,885239006630,685239006636,;","B00L9EQJMO,B013UBNNJK,B00QJ4ZZ8I,UPCNOTFOUND,;",8523900663;
51,"Tue, 24 Mar 2015 17:48:00 -0400","Cadia, Meijer, Wild Harvest and Wegmans",Organic Spinach,Listeria monocytogenes,"Twin City Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm439755.htm,http://www.fda.gov/Safety/Recalls/ucm439756.htm,"015369011659,715369011658,815369011655,615369011651,;041250023623,741250023622,841250023629,641250023625,;011535501702,711535501701,811535501708,611535501704,;077890329320,777890329329,877890329326,677890329322,;","B00L2BTLG0,B013UBNONU,UPCNOTFOUND,B0151P3RRG,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,B010351PZA,B01ASHNI5S,;UPCNOTFOUND,UPCNOTFOUND,B014AHO554,B010351QJ0,;",1536901165;4125002362;1153550170;7789032932;
52,"Tue, 24 Mar 2015 00:00:00 -0400",Lindt,Chocolate Covered Raisins and Chocolate Covered Almonds,Undeclared Hazelnuts,Lindt &amp; Sprungli,http://www.fda.gov/Safety/Recalls/ucm439873.htm,http://www.fda.gov/Safety/Recalls/ucm439890.htm,,,
53,"Tue, 24 Mar 2015 00:00:00 -0400",La Terra Fina,Spinach Artichoke &amp; Parmesan Dips,Listeria monocytogenes,La Terra Fina,http://www.fda.gov/Safety/Recalls/ucm439940.htm,http://www.fda.gov/Safety/Recalls/ucm439943.htm,"640410513389,;640410511934,;","B010351PTQ,;B00NJDUMVW,;",640410513389;640410511934;
54,"Mon, 23 Mar 2015 22:06:00 -0400",Rising Moon Organics,Frozen Ravioli,Listeria monocytogenes,Carmel Food Group,http://www.fda.gov/Safety/Recalls/ucm439539.htm,,"785030000113,;785030227701,;785030555613,;","B00D4CWPXG,;B003V29TY2,;B00IRS3UHC,;",785030000113;785030227701;785030555613;
55,"Mon, 23 Mar 2015 20:32:00 -0400",Blue Bell,Three flavors of ice cream cups,Listeria monocytogenes,Blue Bell Ice Cream,http://www.fda.gov/Safety/Recalls/ucm439533.htm,,,,
56,"Mon, 23 Mar 2015 12:16:00 -0400",Wegmans,Frozen Spinach,Listeria monocytogenes,"Wegmans Food Markets, Inc.",http://www.fda.gov/Safety/Recalls/ucm439439.htm,,"077890329320,777890329329,877890329326,677890329322,;077890329320,777890329329,877890329326,677890329322,;077890329320,777890329329,877890329326,677890329322,;","UPCNOTFOUND,UPCNOTFOUND,B014AHO554,B010351QJ0,;UPCNOTFOUND,UPCNOTFOUND,B014AHO554,B010351QJ0,;UPCNOTFOUND,UPCNOTFOUND,B014AHO554,B010351QJ0,;",7789032932;7789032932;7789032932;
57,"Mon, 23 Mar 2015 00:00:00 -0400",Giant Eagle,Little Italy Panini,Undeclared Egg Allergen,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm439643.htm,http://www.fda.gov/Safety/Recalls/ucm439647.htm,"097525203993,797525203992,897525203999,697525203995,;007369203998,707369203997,807369203994,607369203990,;","UPCNOTFOUND,B00NONEP88,UPCNOTFOUND,B00NONER72,;B00NONESPS,B000R7NBMK,UPCNOTFOUND,B00U28L8SS,;",9752520399;0736920399;
58,"Mon, 23 Mar 2015 00:00:00 -0400",Giant Eagle,Japanese Breaded Cod Fillets,Undeclared Soy Allergen,Giant Eagle,http://www.fda.gov/Safety/Recalls/ucm439658.htm,http://www.fda.gov/Safety/Recalls/ucm439660.htm,"068106314704,768106314703,868106314700,668106314706,;","B014DEIYQA,B019PEW4UU,B01BHLDK5W,UPCNOTFOUND,;",6810631470;
59,"Sun, 22 Mar 2015 00:00:00 -0400",Amy&#39;s,Assorted Frozen Meals,Listeria monocytogenes,"Amy&#39;s Kitchen, Inc.",http://www.fda.gov/Safety/Recalls/ucm439397.htm,http://www.fda.gov/Safety/Recalls/ucm439401.htm,"042272000326,;042272900329,;042272000333,;042272000418,;042272000548,;042272000852,;042272001026,;042272001613,;042272001781,;042272002016,;042272002405,;042272002436,;042272008070,;042272908073,;042272008148,;042272908141,;042272000326,;042272000852,;042272009657,;","B008HMDBO0,;B01BHLFNJS,;B002HTQ4ZM,;B000O6K834,;B002HTMEPQ,;B002HTOCRE,;B002HTMAXM,;B004C4AIY8,;B002HTU4TE,;B0086GLI6U,;B00FTCF1EO,;B00FTBQ79I,;B00CHU05D8,;B019GUZVT4,;B00B03WYYQ,;B0019MNH9E,;B008HMDBO0,;B002HTOCRE,;B00TRGD8RK,;",042272000326;042272900329;042272000333;042272000418;042272000548;042272000852;042272001026;042272001613;042272001781;042272002016;042272002405;042272002436;042272008070;042272908073;042272008148;042272908141;042272000326;042272000852;042272009657;
60,"Sat, 21 Mar 2015 08:31:00 -0400",Nature&#39;s Eats,Macadamia Nuts,Salmonella,Texas Star Nut and Food Co. Inc.,http://www.fda.gov/Safety/Recalls/ucm439283.htm,,,,
61,"Sat, 21 Mar 2015 00:00:00 -0400",Nutiva,O&#39;Coconut Products,Salmonella,Nutiva,http://www.fda.gov/Safety/Recalls/ucm439285.htm,,"692752105579,;692752105586,;692752105029,;692752105036,;692752103865,;692752105005,;692752105012,;692752103858,;","B0121HZ1KI,;B019GUZUPY,;B00KRFLDR2,;UPCNOTFOUND,;B012XUVINW,;B00KRFLH8C,;B01B65ZM14,;B00X15RB0I,;",692752105579;692752105586;692752105029;692752105036;692752103865;692752105005;692752105012;692752103858;
