,category_key,product_key
15271,18415,1000294
15363,18916,1000295
15364,18710,1000295
15365,18415,1000295
15376,18415,1000296
15379,18415,1000297
15386,18415,1000298
15388,18415,1000299
15391,18415,1000300
15423,18415,1000301
15451,18415,1000302
15533,18415,1000303
15545,18415,1000304
15558,18415,1000305
15560,18756,1000306
15561,18437,1000306
15562,18900,1000306
15563,18415,1000306
15589,18415,1000307
15592,18415,1000308
15601,18415,1000309
15603,18415,1000310
15605,18880,1000311
15606,18642,1000311
15607,18431,1000311
15608,18415,1000311
15689,18415,1000312
15696,18415,1000313
15707,18415,1000314
15782,18415,1000315
15802,18415,1000316
15814,18415,1000317
15816,18415,1000318
15843,18415,1000319
15845,18415,1000320
15847,18415,1000321
15849,18415,1000322
15870,18874,1000323
15871,18458,1000323
15872,18900,1000323
15873,18415,1000323
15945,18415,1000324
15951,18415,1000325
16287,18415,1000326
16401,18415,1000327
16441,18415,1000328
16519,18415,1000329
16530,18415,1000330
16563,18415,1000331
16571,18415,1000332
16578,18415,1000333
16580,18415,1000334
16582,18415,1000335
16585,18415,1000336
16588,18415,1000337
16594,18415,1000338
16598,18415,1000339
16600,18415,1000340
16603,18415,1000341
16606,18415,1000342
16608,18415,1000343
16610,18415,1000344
16612,18415,1000345
16614,18415,1000346
16616,18415,1000347
16627,18415,1000348
16636,18415,1000349
16670,18600,1000350
16671,18683,1000350
16672,18415,1000350
16695,18415,1000351
16699,18415,1000352
16701,18415,1000353
16703,18415,1000354
16706,18415,1000355
16708,18415,1000356
16710,18415,1000357
16712,18415,1000358
16714,18415,1000359
16717,18415,1000360
16719,18415,1000361
16721,18675,1000362
16722,18879,1000362
16723,18547,1000362
16724,18415,1000362
16729,18415,1000363
16731,18415,1000364
16733,18415,1000365
16735,18415,1000366
16737,18415,1000367
16739,18415,1000368
16741,18415,1000369
16743,18415,1000370
16745,18415,1000371
16751,18415,1000372
16754,18415,1000373
16756,18415,1000374
16763,18415,1000375
16765,18415,1000376
16767,18415,1000377
16769,18415,1000378
16772,18415,1000379
16774,18415,1000380
16776,18415,1000381
16779,18415,1000382
16790,18415,1000383
16792,18415,1000384
16795,18415,1000385
16797,18415,1000386
16808,18415,1000387
16821,18415,1000388
16830,18415,1000389
16841,18415,1000390
16889,18840,1000391
16890,18786,1000391
16891,18439,1000391
16892,18683,1000391
16893,18415,1000391
16913,18415,1000392
16938,18612,1000393
16939,18596,1000393
16940,18431,1000393
16941,18415,1000393
16962,18415,1000394
16966,18415,1000395
16973,18415,1000396
16990,18415,1000397
16996,18415,1000398
16998,18415,1000399
17003,18415,1000400
17040,18415,1000401
17082,18415,1000402
17087,18415,1000403
17089,18415,1000404
17128,18415,1000405
17147,18415,1000406
17176,18415,1000407
17178,18415,1000408
17183,18415,1000409
17247,18618,1000410
17248,18751,1000410
17249,18683,1000410
17250,18415,1000410
17311,18675,1000411
17312,18879,1000411
17313,18547,1000411
17314,18415,1000411
17404,18415,1000412
17414,18415,1000413
17491,18415,1000414
17524,18415,1000415
17529,18415,1000416
17533,18415,1000417
17539,18415,1000418
17546,18415,1000419
17551,18415,1000420
17559,18415,1000421
17562,18415,1000422
17577,18415,1000423
17580,18415,1000424
17586,18415,1000425
17594,18415,1000426
17600,18415,1000427
17613,18415,1000428
17637,18415,1000429
17647,18415,1000430
17682,18415,1000431
17688,18415,1000432
17701,18415,1000433
17705,18415,1000434
17747,18415,1000435
17776,18415,1000436
17833,18415,1000437
17850,18664,1000438
17851,18874,1000438
17852,18458,1000438
17853,18900,1000438
17854,18415,1000438
17866,18415,1000439
17868,18415,1000440
17875,18415,1000441
17878,18415,1000442
17880,18415,1000443
17884,18415,1000444
17887,18415,1000445
17889,18415,1000446
17891,18415,1000447
17894,18415,1000448
17896,18415,1000449
17899,18415,1000450
17901,18415,1000451
17905,18719,1000452
17906,18890,1000452
17907,18415,1000452
17919,18415,1000453
17925,18415,1000454
17957,18415,1000455
17968,18415,1000456
17976,18453,1000457
17977,18710,1000457
17978,18415,1000457
17982,18453,1000458
17983,18710,1000458
17984,18415,1000458
18025,18453,1000459
18026,18710,1000459
18027,18415,1000459
18102,18415,1000460
18117,18415,1000461
18151,18415,1000462
18204,18415,1000463
18260,18415,1000464
18341,18415,1000465
18343,18415,1000466
18348,18415,1000467
18495,18415,1000468
18520,18415,1000469
18577,18415,1000470
18587,18415,1000471
18604,18415,1000472
18608,18415,1000473
18622,18415,1000474
18666,18415,1000475
18669,18415,1000476
18690,18415,1000477
18693,18415,1000478
18695,18415,1000479
18697,18415,1000480
18699,18415,1000481
18717,18415,1000482
18719,18415,1000483
18729,18415,1000484
18732,18415,1000485
18734,18415,1000486
18740,18415,1000487
18753,18415,1000488
18755,18415,1000489
18757,18415,1000490
18761,18415,1000491
18767,18415,1000492
18769,18415,1000493
18783,18415,1000494
18785,18415,1000495
18808,18442,1000496
18809,18939,1000496
18810,18415,1000496
18814,18415,1000497
18817,18415,1000498
18821,18415,1000499
18823,18415,1000500
18825,18415,1000501
18827,18415,1000502
18829,18415,1000503
18846,18415,1000504
18865,18415,1000505
18867,18415,1000506
18869,18415,1000507
18871,18415,1000508
18873,18415,1000509
18875,18415,1000510
18877,18415,1000511
18879,18415,1000512
18887,18415,1000513
18889,18415,1000514
18894,18415,1000515
18896,18415,1000516
18907,18415,1000517
18909,18415,1000518
18911,18415,1000519
18914,18415,1000520
18916,18415,1000521
18923,18415,1000522
18937,18415,1000523
18944,18415,1000524
18946,18415,1000525
18980,18415,1000526
19016,18415,1000527
19024,18415,1000528
19026,18415,1000529
19050,18415,1000530
19093,18415,1000531
19103,18564,1000532
19104,18613,1000532
19105,18900,1000532
19106,18415,1000532
19111,18564,1000533
19112,18613,1000533
19113,18900,1000533
19114,18415,1000533
19119,18890,1000534
19120,18415,1000534
19130,18415,1000535
19132,18415,1000536
19143,18415,1000537
19160,18415,1000538
19177,18415,1000539
19179,18415,1000540
19198,18415,1000541
19208,18415,1000542
19217,18415,1000543
19238,18415,1000544
19241,18415,1000545
19253,18415,1000546
19261,18415,1000547
19268,18415,1000548
19270,18415,1000549
19285,18415,1000550
19295,18415,1000551
19311,18415,1000552
19350,18415,1000553
19353,18415,1000554
19357,18415,1000555
19368,18415,1000556
19378,18415,1000557
19380,18415,1000558
19382,18415,1000559
19384,18415,1000560
19387,18415,1000561
19389,18415,1000562
19392,18415,1000563
19394,18415,1000564
19420,18415,1000565
19425,18415,1000566
19427,18415,1000567
19429,18415,1000568
19435,18415,1000569
19444,18415,1000570
19446,18415,1000571
19448,18415,1000572
19460,18415,1000573
19485,18415,1000574
19487,18415,1000575
19489,18415,1000576
19491,18415,1000577
19499,18865,1000578
19500,18879,1000578
19501,18547,1000578
19502,18415,1000578
19512,18415,1000579
19517,18415,1000580
19520,18415,1000581
19526,18415,1000582
19531,18415,1000583
19549,18415,1000584
19553,18415,1000585
19580,18415,1000586
19616,18415,1000587
19618,18415,1000588
19620,18415,1000589
19622,18415,1000590
19644,18415,1000591
19647,18415,1000592
19659,18415,1000593
19662,18415,1000594
19696,18415,1000595
19709,18415,1000596
19714,18415,1000597
19717,18415,1000598
19719,18415,1000599
19721,18415,1000600
19742,18415,1000601
19746,18415,1000602
19748,18415,1000603
19766,18415,1000604
19770,18415,1000605
19779,18415,1000606
19781,18415,1000607
19795,18415,1000608
19797,18415,1000609
19800,18415,1000610
19813,18415,1000611
19871,18415,1000612
19878,18415,1000613
19921,18481,1000614
19922,18890,1000614
19923,18415,1000614
19940,18415,1000615
19943,18415,1000616
19950,18415,1000617
19960,18415,1000618
19962,18415,1000619
19984,18415,1000620
19993,18415,1000621
20017,18415,1000622
20028,18415,1000623
20039,18415,1000624
20057,18415,1000625
20059,18415,1000626
20061,18415,1000627
20063,18415,1000628
20066,18415,1000629
20068,18415,1000630
20070,18415,1000631
20074,18415,1000632
20077,18415,1000633
20083,18415,1000634
20090,18415,1000635
20094,18415,1000636
20096,18415,1000637
20098,18415,1000638
20100,18415,1000639
20106,18415,1000640
20108,18415,1000641
20115,18415,1000642
20120,18415,1000643
20122,18415,1000644
20125,18415,1000645
20127,18415,1000646
20131,18415,1000647
20133,18415,1000648
20158,18415,1000649
20166,18415,1000650
20168,18415,1000651
20171,18415,1000652
20173,18415,1000653
20178,18415,1000654
20180,18415,1000655
20202,18415,1000656
20229,18415,1000657
20238,18415,1000658
20242,18415,1000659
20245,18415,1000660
20257,18415,1000661
20263,18415,1000662
20266,18415,1000663
20268,18415,1000664
20270,18415,1000665
20273,18415,1000666
20275,18415,1000667
20277,18415,1000668
20280,18415,1000669
20282,18415,1000670
20284,18415,1000671
20287,18415,1000672
20289,18415,1000673
20292,18415,1000674
20298,18415,1000675
20301,18415,1000676
20305,18415,1000677
20307,18415,1000678
20310,18415,1000679
20313,18415,1000680
20315,18415,1000681
20317,18415,1000682
20319,18415,1000683
20321,18415,1000684
20323,18415,1000685
20325,18415,1000686
20328,18415,1000687
20337,18415,1000688
20343,18415,1000689
20346,18415,1000690
20348,18415,1000691
20350,18415,1000692
20352,18415,1000693
20354,18415,1000694
20356,18415,1000695
20358,18415,1000696
20361,18415,1000697
20367,18865,1000698
20368,18879,1000698
20369,18547,1000698
20370,18415,1000698
20381,18415,1000699
20384,18415,1000700
20386,18415,1000701
20388,18415,1000702
20390,18415,1000703
20396,18415,1000704
20398,18415,1000705
20401,18415,1000706
20405,18415,1000707
20408,18415,1000708
20427,18415,1000709
20439,18415,1000710
20442,18415,1000711
20444,18415,1000712
20452,18415,1000713
20465,18415,1000714
20467,18415,1000715
20493,18865,1000716
20494,18879,1000716
20495,18547,1000716
20496,18415,1000716
20531,18415,1000717
20533,18415,1000718
20544,18415,1000719
20546,18415,1000720
20548,18415,1000721
20559,18415,1000722
20562,18415,1000723
20564,18415,1000724
20581,18897,1000725
20582,18870,1000725
20583,18683,1000725
20584,18415,1000725
20654,18415,1000726
20656,18415,1000727
20676,18415,1000728
20678,18415,1000729
20680,18415,1000730
20682,18415,1000731
20684,18415,1000732
20691,18415,1000733
20693,18415,1000734
20695,18415,1000735
20697,18415,1000736
20699,18415,1000737
20701,18415,1000738
20705,18415,1000739
20707,18415,1000740
20710,18415,1000741
20712,18415,1000742
20714,18415,1000743
20716,18415,1000744
20761,18415,1000745
20764,18415,1000746
20766,18415,1000747
20768,18415,1000748
20770,18415,1000749
20773,18415,1000750
20777,18415,1000751
20780,18415,1000752
20782,18415,1000753
20784,18415,1000754
20790,18415,1000755
20811,18415,1000756
20813,18415,1000757
20816,18415,1000758
20820,18415,1000759
20823,18415,1000760
20829,18415,1000761
20832,18415,1000762
20834,18415,1000763
20836,18612,1000764
20837,18596,1000764
20838,18431,1000764
20839,18415,1000764
20844,18415,1000765
20872,18415,1000766
20877,18415,1000767
20879,18415,1000768
20881,18415,1000769
20884,18415,1000770
20886,18415,1000771
20891,18415,1000772
20899,18415,1000773
20901,18415,1000774
20905,18415,1000775
20907,18415,1000776
20926,18415,1000777
20929,18415,1000778
20931,18415,1000779
20933,18415,1000780
20935,18415,1000781
20941,18415,1000782
20943,18415,1000783
20948,18415,1000784
20952,18415,1000785
20954,18415,1000786
20956,18415,1000787
20978,18415,1000788
20980,18415,1000789
20982,18415,1000790
20984,18415,1000791
20986,18415,1000792
20988,18415,1000793
21010,18415,1000794
21012,18415,1000795
21015,18415,1000796
21022,18415,1000797
21034,18415,1000798
21039,18415,1000799
21041,18415,1000800
21045,18415,1000801
21050,18415,1000802
21052,18415,1000803
21058,18415,1000804
21062,18415,1000805
21065,18415,1000806
21068,18415,1000807
21070,18415,1000808
21072,18415,1000809
21074,18415,1000810
21076,18415,1000811
21078,18415,1000812
21080,18415,1000813
21085,18415,1000814
21096,18415,1000815
21100,18415,1000816
21111,18415,1000817
21120,18415,1000818
21126,18415,1000819
21131,18415,1000820
21144,18415,1000821
21150,18539,1000822
21151,18751,1000822
21152,18683,1000822
21153,18415,1000822
21171,18415,1000823
21174,18415,1000824
21177,18415,1000825
21180,18415,1000826
21182,18415,1000827
21187,18415,1000828
21197,18415,1000829
21199,18415,1000830
21208,18415,1000831
21218,18415,1000832
21222,18415,1000833
21240,18415,1000834
21257,18415,1000835
21260,18415,1000836
21266,18415,1000837
21272,18415,1000838
21299,18415,1000839
21339,18415,1000840
21353,18415,1000841
21361,18415,1000842
21363,18415,1000843
21367,18415,1000844
21370,18415,1000845
21383,18415,1000846
21385,18415,1000847
21405,18415,1000848
21407,18664,1000849
21408,18874,1000849
21409,18458,1000849
21410,18900,1000849
21411,18415,1000849
21419,18415,1000850
21425,18415,1000851
21428,18415,1000852
21442,18415,1000853
21479,18600,1000854
21480,18683,1000854
21481,18415,1000854
21485,18415,1000855
21502,18415,1000856
21522,18415,1000857
21539,18415,1000858
21541,18415,1000859
21560,18415,1000860
21562,18415,1000861
21574,18415,1000862
21578,18415,1000863
21581,18415,1000864
21583,18415,1000865
21586,18415,1000866
21592,18415,1000867
21594,18415,1000868
21600,18415,1000869
21608,18415,1000870
21611,18415,1000871
21614,18415,1000872
21616,18415,1000873
21624,18415,1000874
21631,18415,1000875
21635,18415,1000876
21650,18415,1000877
21654,18415,1000878
21656,18415,1000879
21663,18415,1000880
21671,18415,1000881
21681,18415,1000882
21683,18415,1000883
21696,18415,1000884
21708,18415,1000885
21712,18415,1000886
21714,18415,1000887
21720,18415,1000888
21722,18415,1000889
21734,18415,1000890
21736,18415,1000891
21748,18415,1000892
21751,18415,1000893
21764,18415,1000894
21766,18415,1000895
21777,18415,1000896
21785,18415,1000897
21811,18415,1000898
21815,18415,1000899
21829,18415,1000900
21832,18415,1000901
21839,18415,1000902
21851,18415,1000903
21860,18415,1000904
21867,18415,1000905
21876,18415,1000906
21879,18415,1000907
21896,18415,1000908
21900,18415,1000909
21921,18415,1000910
21925,18415,1000911
21931,18415,1000912
21986,18415,1000913
22008,18415,1000914
22020,18415,1000915
22027,18415,1000916
22031,18415,1000917
22039,18415,1000918
22099,18415,1000919
22102,18415,1000920
22106,18415,1000921
22108,18415,1000922
22113,18415,1000923
22119,18415,1000924
22124,18415,1000925
22129,18415,1000926
22136,18415,1000927
22139,18415,1000928
22142,18415,1000929
22144,18415,1000930
22146,18415,1000931
22152,18415,1000932
22156,18415,1000933
22158,18415,1000934
22160,18415,1000935
22162,18415,1000936
22168,18415,1000937
22180,18415,1000938
22195,18415,1000939
22224,18415,1000940
22226,18415,1000941
22247,18415,1000942
22266,18415,1000943
22297,18415,1000944
22320,18415,1000945
22327,18415,1000946
22363,18415,1000947
22373,18415,1000948
22380,18415,1000949
22382,18415,1000950
22398,18415,1000951
22407,18415,1000952
22413,18415,1000953
22416,18415,1000954
22420,18415,1000955
22426,18415,1000956
22437,18415,1000957
22440,18415,1000958
22445,18415,1000959
22447,18415,1000960
22452,18415,1000961
22456,18415,1000962
22471,18415,1000963
22516,18415,1000964
22518,18415,1000965
22523,18415,1000966
22526,18415,1000967
22538,18415,1000968
22540,18415,1000969
22542,18415,1000970
22548,18415,1000971
22550,18415,1000972
22553,18415,1000973
22561,18415,1000974
22572,18415,1000975
22582,18415,1000976
22588,18415,1000977
22590,18415,1000978
22592,18415,1000979
22594,18415,1000980
22596,18415,1000981
22598,18415,1000982
22607,18415,1000983
22609,18415,1000984
22611,18415,1000985
22613,18415,1000986
22616,18415,1000987
22619,18541,1000988
22620,18596,1000988
22621,18431,1000988
22622,18415,1000988
22646,18415,1000989
22648,18415,1000990
22650,18415,1000991
22654,18415,1000992
22656,18415,1000993
22658,18415,1000994
22660,18415,1000995
22675,18415,1000996
22678,18415,1000997
22683,18415,1000998
22691,18415,1000999
22693,18415,1001000
22695,18415,1001001
22698,18415,1001002
22703,18415,1001003
22705,18415,1001004
22707,18415,1001005
22717,18415,1001006
22719,18415,1001007
22721,18415,1001008
22725,18415,1001009
22728,18415,1001010
22750,18415,1001011
22753,18415,1001012
22755,18415,1001013
22757,18415,1001014
22759,18415,1001015
22761,18415,1001016
22767,18415,1001017
22771,18415,1001018
22783,18415,1001019
22792,18415,1001020
22797,18415,1001021
22813,18415,1001022
22819,18415,1001023
22821,18415,1001024
22824,18415,1001025
22827,18415,1001026
22829,18415,1001027
22831,18415,1001028
22836,18415,1001029
22838,18415,1001030
22880,18415,1001031
22887,18415,1001032
22894,18415,1001033
22904,18415,1001034
22936,18415,1001035
22938,18415,1001036
22940,18415,1001037
22942,18415,1001038
22947,18415,1001039
22955,18415,1001040
22957,18415,1001041
22962,18415,1001042
22967,18415,1001043
22977,18415,1001044
22979,18415,1001045
22981,18415,1001046
22983,18415,1001047
22985,18415,1001048
22987,18415,1001049
22989,18415,1001050
22992,18415,1001051
22997,18415,1001052
23000,18415,1001053
23007,18415,1001054
23020,18415,1001055
23027,18415,1001056
23034,18415,1001057
23048,18415,1001058
23050,18415,1001059
23064,18415,1001060
23072,18415,1001061
23074,18415,1001062
23079,18415,1001063
23085,18415,1001064
23088,18415,1001065
23097,18415,1001066
23101,18415,1001067
23103,18415,1001068
23105,18415,1001069
23108,18415,1001070
23116,18415,1001071
23123,18415,1001072
23125,18415,1001073
23151,18415,1001074
23154,18415,1001075
23163,18415,1001076
23184,18415,1001077
23212,18415,1001078
23238,18415,1001079
23241,18415,1001080
23263,18415,1001081
23287,18415,1001082
23293,18415,1001083
23316,18415,1001084
23326,18415,1001085
23328,18415,1001086
23333,18415,1001087
23340,18415,1001088
23344,18415,1001089
23346,18415,1001090
23350,18415,1001091
23357,18415,1001092
23361,18415,1001093
23372,18415,1001094
23378,18415,1001095
23389,18415,1001096
23395,18415,1001097
23397,18415,1001098
23399,18415,1001099
23406,18415,1001100
23409,18415,1001101
23424,18415,1001102
23432,18415,1001103
23434,18415,1001104
23439,18415,1001105
23441,18415,1001106
23450,18415,1001107
23518,18415,1001108
23520,18415,1001109
23522,18415,1001110
23524,18415,1001111
23530,18415,1001112
23533,18415,1001113
23535,18415,1001114
23549,18415,1001115
23551,18415,1001116
23561,18415,1001117
23563,18415,1001118
23566,18415,1001119
23568,18415,1001120
23592,18415,1001121
983,18415,1001122
23602,18415,1001123
23605,18415,1001124
23607,18415,1001125
23617,18415,1001126
23622,18415,1001127
23635,18415,1001128
23638,18415,1001129
23640,18415,1001130
984,18415,1001131
23693,18415,1001132
23695,18415,1001133
23720,18415,1001134
23743,18415,1001135
23746,18415,1001136
985,18415,1001137
23766,18415,1001138
23769,18415,1001139
23771,18415,1001140
23782,18415,1001141
23793,18415,1001142
23799,18415,1001143
23805,18415,1001144
23818,18415,1001145
23820,18415,1001146
23887,18415,1001147
23921,18415,1001148
23934,18415,1001149
23986,18415,1001150
23990,18415,1001151
24007,18415,1001152
24025,18415,1001153
24028,18415,1001154
24030,18415,1001155
24034,18415,1001156
24052,18415,1001157
24061,18415,1001158
24084,18415,1001159
24116,18415,1001160
24120,18415,1001161
24122,18415,1001162
24125,18415,1001163
24152,18415,1001164
24167,18415,1001165
24169,18415,1001166
24193,18415,1001167
24210,18415,1001168
24214,18415,1001169
24225,18415,1001170
24227,18415,1001171
24236,18415,1001172
24269,18415,1001173
24294,18415,1001174
24303,18415,1001175
24310,18415,1001176
24313,18415,1001177
24315,18415,1001178
24322,18415,1001179
24326,18415,1001180
24342,18415,1001181
24344,18415,1001182
24363,18415,1001183
24404,18415,1001184
24406,18415,1001185
24420,18415,1001186
24432,18415,1001187
24435,18415,1001188
24441,18415,1001189
24443,18415,1001190
24445,18415,1001191
24447,18415,1001192
24452,18415,1001193
24454,18415,1001194
24468,18415,1001195
24470,18415,1001196
24472,18415,1001197
24474,18415,1001198
24476,18415,1001199
24478,18415,1001200
24482,18415,1001201
24486,18415,1001202
24489,18415,1001203
24493,18415,1001204
24503,18415,1001205
24507,18415,1001206
24510,18415,1001207
24512,18415,1001208
24518,18415,1001209
24526,18415,1001210
24529,18415,1001211
24548,18415,1001212
24551,18415,1001213
24553,18415,1001214
24560,18415,1001215
24562,18415,1001216
24564,18415,1001217
24566,18415,1001218
24575,18415,1001219
24581,18415,1001220
24584,18415,1001221
24586,18415,1001222
24588,18415,1001223
24612,18415,1001224
24618,18415,1001225
24625,18415,1001226
24629,18415,1001227
24637,18415,1001228
24650,18415,1001229
24660,18415,1001230
24670,18415,1001231
24672,18415,1001232
24675,18415,1001233
24677,18529,1001234
24678,18576,1001234
